sentence,source_text,true_value,label,suite,variant,source_index,template,action,slots_json,nature_score,nature_score_norm,nature_group,error
"During the storm, a caretaker kept restoring the woods.","During the storm, a caretaker kept restoring the woods.",nature,nature,,base,493,"During the storm, {agent} kept {action} {patient}.",restoring,"{""action"": ""restoring"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""sample_index"": 493}",98.0,0.98,forest,
Everyone noticed a local student protecting the woods at sunrise.,Everyone noticed a local student protecting the woods at sunrise.,nature,nature,,base,494,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 494}",98.0,0.98,forest,
Everyone noticed a caretaker nurturing the natural habitat after the rain.,Everyone noticed a caretaker nurturing the natural habitat after the rain.,nature,nature,,base,495,Everyone noticed {agent} {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""place"": ""after the rain"", ""sample_index"": 495}",98.0,0.98,forest,
Everyone noticed a caretaker protecting the woods by the river.,Everyone noticed a caretaker protecting the woods by the river.,nature,nature,,base,496,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""by the river"", ""sample_index"": 496}",98.0,0.98,forest,
"During the storm, a caretaker kept preserving the woods.","During the storm, a caretaker kept preserving the woods.",nature,nature,,base,497,"During the storm, {agent} kept {action} {patient}.",preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""sample_index"": 497}",98.0,0.98,forest,
People praised a caretaker for tending the forest on the hillside.,People praised a caretaker for tending the forest on the hillside.,nature,nature,,base,498,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 498}",92.0,0.92,forest,
People praised a volunteer for safeguarding the woods near the trail.,People praised a volunteer for safeguarding the woods near the trail.,nature,nature,,base,499,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 499}",98.0,0.98,forest,
It was clear that a local student spent the day watching over the natural habitat.,It was clear that a local student spent the day watching over the natural habitat.,nature,nature,,base,500,It was clear that {agent} spent the day {action} {patient}.,watching over,"{""action"": ""watching over"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""sample_index"": 500}",98.0,0.98,forest,
"During the storm, the community team kept safeguarding the grove.","During the storm, the community team kept safeguarding the grove.",nature,nature,,base,501,"During the storm, {agent} kept {action} {patient}.",safeguarding,"{""action"": ""safeguarding"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""sample_index"": 501}",92.0,0.92,forest,
It was clear that a volunteer spent the day healing the natural habitat.,It was clear that a volunteer spent the day healing the natural habitat.,nature,nature,,base,502,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 502}",98.0,0.98,forest,
People praised a local student for preserving the natural habitat on the hillside.,People praised a local student for preserving the natural habitat on the hillside.,nature,nature,,base,503,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""on the hillside"", ""sample_index"": 503}",98.0,0.98,forest,
People praised a ranger for preserving the forest after the rain.,People praised a ranger for preserving the forest after the rain.,nature,nature,,base,504,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 504}",98.0,0.98,forest,
It was clear that the community team spent the day healing the natural habitat.,It was clear that the community team spent the day healing the natural habitat.,nature,nature,,base,505,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""sample_index"": 505}",98.0,0.98,forest,
It was clear that a caretaker spent the day restoring the natural habitat.,It was clear that a caretaker spent the day restoring the natural habitat.,nature,nature,,base,506,It was clear that {agent} spent the day {action} {patient}.,restoring,"{""action"": ""restoring"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 506}",98.0,0.98,forest,
A volunteer was watching over the natural habitat at sunrise.,A volunteer was watching over the natural habitat at sunrise.,nature,nature,,base,507,{agent} was {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""place"": ""at sunrise"", ""sample_index"": 507}",98.0,0.98,forest,
People praised a local student for preserving the forest at sunrise.,People praised a local student for preserving the forest at sunrise.,nature,nature,,base,508,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 508}",98.0,0.98,forest,
People praised a local student for restoring the grove after the rain.,People praised a local student for restoring the grove after the rain.,nature,nature,,base,509,People praised {agent} for {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""after the rain"", ""sample_index"": 509}",98.0,0.98,forest,
People praised a local student for protecting the woodland by the river.,People praised a local student for protecting the woodland by the river.,nature,nature,,base,510,People praised {agent} for {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 510}",98.0,0.98,forest,
Everyone noticed a ranger tending the woods after the rain.,Everyone noticed a ranger tending the woods after the rain.,nature,nature,,base,511,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 511}",93.0,0.93,forest,
A local student was preserving the woodland by the river.,A local student was preserving the woodland by the river.,nature,nature,,base,512,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 512}",98.0,0.98,forest,
A ranger was healing the grove by the river.,A ranger was healing the grove by the river.,nature,nature,,base,513,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""place"": ""by the river"", ""sample_index"": 513}",98.0,0.98,forest,
"During the storm, a volunteer kept nurturing the woods.","During the storm, a volunteer kept nurturing the woods.",nature,nature,,base,514,"During the storm, {agent} kept {action} {patient}.",nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""sample_index"": 514}",92.0,0.92,forest,
Everyone noticed a local student tending the grove at sunrise.,Everyone noticed a local student tending the grove at sunrise.,nature,nature,,base,515,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""at sunrise"", ""sample_index"": 515}",92.0,0.92,forest,
The community team was tending the woods on the hillside.,The community team was tending the woods on the hillside.,nature,nature,,base,516,{agent} was {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 516}",92.0,0.92,forest,
It was clear that the community team spent the day preserving the grove.,It was clear that the community team spent the day preserving the grove.,nature,nature,,base,517,It was clear that {agent} spent the day {action} {patient}.,preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""sample_index"": 517}",98.0,0.98,forest,
It was clear that a volunteer spent the day healing the forest.,It was clear that a volunteer spent the day healing the forest.,nature,nature,,base,518,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""sample_index"": 518}",98.0,0.98,forest,
Everyone noticed a local student protecting the natural habitat at sunrise.,Everyone noticed a local student protecting the natural habitat at sunrise.,nature,nature,,base,519,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""at sunrise"", ""sample_index"": 519}",98.0,0.98,forest,
"During the storm, a volunteer kept healing the woods.","During the storm, a volunteer kept healing the woods.",nature,nature,,base,520,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""sample_index"": 520}",98.0,0.98,forest,
Everyone noticed a volunteer watching over the woodland near the trail.,Everyone noticed a volunteer watching over the woodland near the trail.,nature,nature,,base,521,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 521}",93.0,0.93,forest,
A local student was preserving the natural habitat by the river.,A local student was preserving the natural habitat by the river.,nature,nature,,base,522,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 522}",93.0,0.93,forest,
It was clear that a ranger spent the day cleaning up the forest.,It was clear that a ranger spent the day cleaning up the forest.,nature,nature,,base,523,It was clear that {agent} spent the day {action} {patient}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""sample_index"": 523}",98.0,0.98,forest,
"During the storm, the community team kept protecting the forest.","During the storm, the community team kept protecting the forest.",nature,nature,,base,524,"During the storm, {agent} kept {action} {patient}.",protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""sample_index"": 524}",92.0,0.92,forest,
A local student was cleaning up the grove near the trail.,A local student was cleaning up the grove near the trail.,nature,nature,,base,525,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""near the trail"", ""sample_index"": 525}",92.0,0.92,forest,
It was clear that a ranger spent the day healing the woods.,It was clear that a ranger spent the day healing the woods.,nature,nature,,base,526,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""sample_index"": 526}",98.0,0.98,forest,
Everyone noticed a volunteer healing the natural habitat on the hillside.,Everyone noticed a volunteer healing the natural habitat on the hillside.,nature,nature,,base,527,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""place"": ""on the hillside"", ""sample_index"": 527}",98.0,0.98,forest,
It was clear that a caretaker spent the day safeguarding the woods.,It was clear that a caretaker spent the day safeguarding the woods.,nature,nature,,base,528,It was clear that {agent} spent the day {action} {patient}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""sample_index"": 528}",98.0,0.98,forest,
It was clear that a local student spent the day healing the woodland.,It was clear that a local student spent the day healing the woodland.,nature,nature,,base,529,It was clear that {agent} spent the day {action} {patient}.,healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""sample_index"": 529}",98.0,0.98,forest,
The community team was nurturing the natural habitat near the trail.,The community team was nurturing the natural habitat near the trail.,nature,nature,,base,530,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 530}",98.0,0.98,forest,
People praised a local student for tending the forest on the hillside.,People praised a local student for tending the forest on the hillside.,nature,nature,,base,531,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 531}",98.0,0.98,forest,
People praised a caretaker for tending the grove at sunrise.,People praised a caretaker for tending the grove at sunrise.,nature,nature,,base,532,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a caretaker"", ""patient"": ""the grove"", ""place"": ""at sunrise"", ""sample_index"": 532}",93.0,0.93,forest,
Everyone noticed a local student restoring the woods after the rain.,Everyone noticed a local student restoring the woods after the rain.,nature,nature,,base,533,Everyone noticed {agent} {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 533}",98.0,0.98,forest,
It was clear that a volunteer spent the day watching over the woodland.,It was clear that a volunteer spent the day watching over the woodland.,nature,nature,,base,534,It was clear that {agent} spent the day {action} {patient}.,watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""sample_index"": 534}",98.0,0.98,forest,
"During the storm, a ranger kept restoring the natural habitat.","During the storm, a ranger kept restoring the natural habitat.",nature,nature,,base,535,"During the storm, {agent} kept {action} {patient}.",restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""sample_index"": 535}",98.0,0.98,forest,
"During the storm, the community team kept tending the natural habitat.","During the storm, the community team kept tending the natural habitat.",nature,nature,,base,536,"During the storm, {agent} kept {action} {patient}.",tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""sample_index"": 536}",93.0,0.93,forest,
"During the storm, a volunteer kept restoring the woodland.","During the storm, a volunteer kept restoring the woodland.",nature,nature,,base,537,"During the storm, {agent} kept {action} {patient}.",restoring,"{""action"": ""restoring"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""sample_index"": 537}",98.0,0.98,forest,
Everyone noticed a ranger cleaning up the grove on the hillside.,Everyone noticed a ranger cleaning up the grove on the hillside.,nature,nature,,base,538,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""place"": ""on the hillside"", ""sample_index"": 538}",98.0,0.98,forest,
People praised a volunteer for preserving the forest on the hillside.,People praised a volunteer for preserving the forest on the hillside.,nature,nature,,base,539,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 539}",98.0,0.98,forest,
People praised the community team for tending the forest by the river.,People praised the community team for tending the forest by the river.,nature,nature,,base,540,People praised {agent} for {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""by the river"", ""sample_index"": 540}",98.0,0.98,forest,
People praised the community team for cleaning up the woods at sunrise.,People praised the community team for cleaning up the woods at sunrise.,nature,nature,,base,541,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 541}",98.0,0.98,forest,
Everyone noticed a caretaker cleaning up the forest near the trail.,Everyone noticed a caretaker cleaning up the forest near the trail.,nature,nature,,base,542,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 542}",98.0,0.98,forest,
A local student was cleaning up the woods after the rain.,A local student was cleaning up the woods after the rain.,nature,nature,,base,543,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 543}",92.0,0.92,forest,
"During the storm, a volunteer kept cleaning up the natural habitat.","During the storm, a volunteer kept cleaning up the natural habitat.",nature,nature,,base,544,"During the storm, {agent} kept {action} {patient}.",cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 544}",93.0,0.93,forest,
Everyone noticed a local student safeguarding the grove after the rain.,Everyone noticed a local student safeguarding the grove after the rain.,nature,nature,,base,545,Everyone noticed {agent} {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""after the rain"", ""sample_index"": 545}",93.0,0.93,forest,
Everyone noticed a caretaker safeguarding the woodland after the rain.,Everyone noticed a caretaker safeguarding the woodland after the rain.,nature,nature,,base,546,Everyone noticed {agent} {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""after the rain"", ""sample_index"": 546}",98.0,0.98,forest,
"During the storm, a ranger kept watching over the grove.","During the storm, a ranger kept watching over the grove.",nature,nature,,base,547,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""sample_index"": 547}",92.0,0.92,forest,
It was clear that a caretaker spent the day safeguarding the woodland.,It was clear that a caretaker spent the day safeguarding the woodland.,nature,nature,,base,548,It was clear that {agent} spent the day {action} {patient}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""sample_index"": 548}",98.0,0.98,forest,
The community team was tending the woods near the trail.,The community team was tending the woods near the trail.,nature,nature,,base,549,{agent} was {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 549}",92.0,0.92,forest,
Everyone noticed the community team protecting the natural habitat after the rain.,Everyone noticed the community team protecting the natural habitat after the rain.,nature,nature,,base,550,Everyone noticed {agent} {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""after the rain"", ""sample_index"": 550}",98.0,0.98,forest,
Everyone noticed a volunteer tending the woods on the hillside.,Everyone noticed a volunteer tending the woods on the hillside.,nature,nature,,base,551,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 551}",92.0,0.92,forest,
"During the storm, the community team kept cleaning up the woods.","During the storm, the community team kept cleaning up the woods.",nature,nature,,base,552,"During the storm, {agent} kept {action} {patient}.",cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""sample_index"": 552}",92.0,0.92,forest,
People praised a caretaker for watching over the woodland at sunrise.,People praised a caretaker for watching over the woodland at sunrise.,nature,nature,,base,553,People praised {agent} for {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 553}",98.0,0.98,forest,
"During the storm, a volunteer kept watching over the woodland.","During the storm, a volunteer kept watching over the woodland.",nature,nature,,base,554,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""sample_index"": 554}",93.0,0.93,forest,
It was clear that the community team spent the day restoring the grove.,It was clear that the community team spent the day restoring the grove.,nature,nature,,base,555,It was clear that {agent} spent the day {action} {patient}.,restoring,"{""action"": ""restoring"", ""agent"": ""the community team"", ""patient"": ""the grove"", ""sample_index"": 555}",98.0,0.98,forest,
People praised a ranger for restoring the natural habitat by the river.,People praised a ranger for restoring the natural habitat by the river.,nature,nature,,base,556,People praised {agent} for {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""place"": ""by the river"", ""sample_index"": 556}",98.0,0.98,forest,
A ranger was preserving the grove near the trail.,A ranger was preserving the grove near the trail.,nature,nature,,base,557,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""place"": ""near the trail"", ""sample_index"": 557}",98.0,0.98,forest,
A volunteer was cleaning up the forest near the trail.,A volunteer was cleaning up the forest near the trail.,nature,nature,,base,558,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 558}",98.0,0.98,forest,
"During the storm, a caretaker kept healing the forest.","During the storm, a caretaker kept healing the forest.",nature,nature,,base,559,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""sample_index"": 559}",98.0,0.98,forest,
"During the storm, a ranger kept watching over the forest.","During the storm, a ranger kept watching over the forest.",nature,nature,,base,560,"During the storm, {agent} kept {action} {patient}.",watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""sample_index"": 560}",98.0,0.98,forest,
People praised a local student for healing the forest by the river.,People praised a local student for healing the forest by the river.,nature,nature,,base,561,People praised {agent} for {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""by the river"", ""sample_index"": 561}",98.0,0.98,forest,
Everyone noticed the community team healing the woodland by the river.,Everyone noticed the community team healing the woodland by the river.,nature,nature,,base,562,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 562}",98.0,0.98,forest,
"During the storm, a volunteer kept healing the forest.","During the storm, a volunteer kept healing the forest.",nature,nature,,base,563,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a volunteer"", ""patient"": ""the forest"", ""sample_index"": 563}",98.0,0.98,forest,
People praised a volunteer for preserving the woods near the trail.,People praised a volunteer for preserving the woods near the trail.,nature,nature,,base,564,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 564}",98.0,0.98,forest,
Everyone noticed a caretaker healing the woodland at sunrise.,Everyone noticed a caretaker healing the woodland at sunrise.,nature,nature,,base,565,Everyone noticed {agent} {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 565}",98.0,0.98,forest,
Everyone noticed a local student preserving the grove after the rain.,Everyone noticed a local student preserving the grove after the rain.,nature,nature,,base,566,Everyone noticed {agent} {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""after the rain"", ""sample_index"": 566}",98.0,0.98,forest,
It was clear that a caretaker spent the day cleaning up the forest.,It was clear that a caretaker spent the day cleaning up the forest.,nature,nature,,base,567,It was clear that {agent} spent the day {action} {patient}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""sample_index"": 567}",98.0,0.98,forest,
A local student was protecting the grove at sunrise.,A local student was protecting the grove at sunrise.,nature,nature,,base,568,{agent} was {action} {patient} {place}.,protecting,"{""action"": ""protecting"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""at sunrise"", ""sample_index"": 568}",98.0,0.98,forest,
"During the storm, a ranger kept healing the forest.","During the storm, a ranger kept healing the forest.",nature,nature,,base,569,"During the storm, {agent} kept {action} {patient}.",healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""sample_index"": 569}",98.0,0.98,forest,
A local student was restoring the grove on the hillside.,A local student was restoring the grove on the hillside.,nature,nature,,base,570,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""a local student"", ""patient"": ""the grove"", ""place"": ""on the hillside"", ""sample_index"": 570}",93.0,0.93,forest,
People praised a ranger for preserving the woods near the trail.,People praised a ranger for preserving the woods near the trail.,nature,nature,,base,571,People praised {agent} for {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 571}",98.0,0.98,forest,
Everyone noticed a ranger watching over the forest on the hillside.,Everyone noticed a ranger watching over the forest on the hillside.,nature,nature,,base,572,Everyone noticed {agent} {action} {patient} {place}.,watching over,"{""action"": ""watching over"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 572}",98.0,0.98,forest,
People praised a ranger for healing the woods on the hillside.,People praised a ranger for healing the woods on the hillside.,nature,nature,,base,573,People praised {agent} for {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a ranger"", ""patient"": ""the woods"", ""place"": ""on the hillside"", ""sample_index"": 573}",98.0,0.98,forest,
It was clear that the community team spent the day protecting the woods.,It was clear that the community team spent the day protecting the woods.,nature,nature,,base,574,It was clear that {agent} spent the day {action} {patient}.,protecting,"{""action"": ""protecting"", ""agent"": ""the community team"", ""patient"": ""the woods"", ""sample_index"": 574}",98.0,0.98,forest,
A caretaker was tending the woods after the rain.,A caretaker was tending the woods after the rain.,nature,nature,,base,575,{agent} was {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""after the rain"", ""sample_index"": 575}",93.0,0.93,forest,
People praised a local student for cleaning up the natural habitat on the hillside.,People praised a local student for cleaning up the natural habitat on the hillside.,nature,nature,,base,576,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the natural habitat"", ""place"": ""on the hillside"", ""sample_index"": 576}",98.0,0.98,forest,
It was clear that a ranger spent the day tending the natural habitat.,It was clear that a ranger spent the day tending the natural habitat.,nature,nature,,base,577,It was clear that {agent} spent the day {action} {patient}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""sample_index"": 577}",98.0,0.98,forest,
A ranger was safeguarding the grove near the trail.,A ranger was safeguarding the grove near the trail.,nature,nature,,base,578,{agent} was {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a ranger"", ""patient"": ""the grove"", ""place"": ""near the trail"", ""sample_index"": 578}",98.0,0.98,forest,
Everyone noticed the community team preserving the natural habitat after the rain.,Everyone noticed the community team preserving the natural habitat after the rain.,nature,nature,,base,579,Everyone noticed {agent} {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""the community team"", ""patient"": ""the natural habitat"", ""place"": ""after the rain"", ""sample_index"": 579}",98.0,0.98,forest,
Everyone noticed a ranger tending the woodland at sunrise.,Everyone noticed a ranger tending the woodland at sunrise.,nature,nature,,base,580,Everyone noticed {agent} {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 580}",98.0,0.98,forest,
It was clear that a caretaker spent the day watching over the natural habitat.,It was clear that a caretaker spent the day watching over the natural habitat.,nature,nature,,base,581,It was clear that {agent} spent the day {action} {patient}.,watching over,"{""action"": ""watching over"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""sample_index"": 581}",98.0,0.98,forest,
"During the storm, a volunteer kept tending the natural habitat.","During the storm, a volunteer kept tending the natural habitat.",nature,nature,,base,582,"During the storm, {agent} kept {action} {patient}.",tending,"{""action"": ""tending"", ""agent"": ""a volunteer"", ""patient"": ""the natural habitat"", ""sample_index"": 582}",93.0,0.93,forest,
The community team was tending the woodland near the trail.,The community team was tending the woodland near the trail.,nature,nature,,base,583,{agent} was {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""the community team"", ""patient"": ""the woodland"", ""place"": ""near the trail"", ""sample_index"": 583}",93.0,0.93,forest,
A caretaker was preserving the woods at sunrise.,A caretaker was preserving the woods at sunrise.,nature,nature,,base,584,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 584}",98.0,0.98,forest,
